Confirmed Foreign National,Confirmed Indian National,Date,State/UnionTerritory,State/UnionTerritory (group),Time,% of death,%cured,%of confimed cases,%of cured,Confirmed,Cured,death%,Deaths,Sno
0,7,06-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.054863234,0,7,0,0,0,56
0,1,06-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,57
0,3,07-03-2020,Kerala,Other,6:00 PM,0,100,0.023512814,100,3,3,0,0,58
0,7,07-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.054863234,0,7,0,0,0,59
0,2,07-03-2020,Ladakh,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,60
0,1,07-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,61
0,1,07-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,62
0,3,07-03-2020,Delhi,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,63
2,0,07-03-2020,Haryana,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,64
14,1,07-03-2020,Rajasthan,Other,6:00 PM,0,0,0.117564072,0,15,0,0,0,65
0,2,08-03-2020,Ladakh,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,66
0,1,08-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,67
0,1,08-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,68
14,1,08-03-2020,Rajasthan,Other,6:00 PM,0,0,0.117564072,0,15,0,0,0,69
0,8,08-03-2020,Kerala,Other,6:00 PM,0,37.5,0.062700839,37.5,8,3,0,0,70
2,0,08-03-2020,Haryana,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,71
0,3,08-03-2020,Delhi,Other,6:00 PM,0,0,0.023512814,0,3,0,0,0,72
0,7,08-03-2020,Uttar Pradesh,Other,6:00 PM,0,0,0.054863234,0,7,0,0,0,73
0,2,09-03-2020,Ladakh,Other,6:00 PM,0,0,0.015675210,0,2,0,0,0,74
0,1,09-03-2020,Karnataka,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,75
0,9,09-03-2020,Kerala,Other,6:00 PM,0,33.333333333,0.070538443,33.333333333,9,3,0,0,76
0,2,09-03-2020,Maharashtra,Maharashtra,6:00 PM,0,0,0.015675210,0,2,0,0,0,77
0,1,09-03-2020,Punjab,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,78
14,1,09-03-2020,Rajasthan,Other,6:00 PM,0,0,0.117564072,0,15,0,0,0,79
0,1,09-03-2020,Tamil Nadu,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,80
0,1,09-03-2020,Telengana,Other,6:00 PM,0,0,0.007837605,0,1,0,0,0,81
